,title,description,Date,Rating,Names
27,great safe product,"We use these wipes all through our home, on baby toys, bathrooms, kitchen, etc. Excellent cleaning power and a pleasant scent as well","January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",kris
28,LOVE THESE!,Keep these handy in many rooms of the house and one of my kids chores is to wipe down all of the door knobs with these everyday to keep germs AWAY!,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",JKZAITER
29,"Sunny clean,",I love this product. I use it everywhere in my house. I know my kitchen is clean when I finish with a clorox disinfecting wipe.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",BusyB3
30,Awesome!!,This product is a must in my household. I use it for everyday cleaning. Love the refreshing smell and the sparkle that it gives.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",Sweetcraftycat
31,Easily accessible,My mother is wheelchair bound and the wipes are an invaluable tool to keep things clean and fresh all over the house.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",clean132
32,great stain fighter,Our kitchen has the old linoleum counter tops that retain stains. The Clorox Disinfecting wipes help remove the stains while leaving my counter tops very clean.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",pinkninja
33,Perfect for easy clean up,"I use these all the time, especially when my daughter throws up!","January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",Eliza
34,I love Clorox,I love clorox and I feel it helps me to keep my house in control of germs! I would not switch to another product.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",tiffy56
35,Love these wipes,Love these wipes to clean my kitchen coutertops. They are great for the bathroom and laundry room also!,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",tiffy56
36,Great for quick clean-up,I use this product everyday at home and in the classroom. These wipes are purfect for cleaning up after children. Whether it's after brushing their teeth or markers on the table tops Clorox wipes can handle it all.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",MomandTeach
37,Great Product,I love using Clorox disinfecting wipes! The smell great and kill germs. My kids like helping me clean the counters and this product is safe enough for them to handle them. (wash hands after). LOVE. I even use them in my classrooms to wipe tables and chairs.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",mom54
38,Good product,..........sometimes you need to open plastic can and reach for new wipe........,"January 19, 2012","Average Rating:
(
4.0
)
out of
5
stars",MrYoho
39,Quality product!,This is a top quality product that can be used on almost anything! I have these in my house as well as my car and with three children they help tremendously. : ),"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",Chicbowtique
40,Good for bathrooms,"I really like to use these wipes in my bathroom. I don't mind using a cloth in the rest of the house, but the bathroom, and especially the toilet just seem too nasty to clean with something that I can't just throw away. Plus, these smell nice!","January 19, 2012","Average Rating:
(
4.0
)
out of
5
stars",Hannah
41,This product has great features,"These work great, smell nice, and really clean well. I recommend them to all my friends and family.","January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",jackie227
42,This is the best disinfecting wipes you can buy,"Clorox Wipes are a great disinfectant and germ killer. I always feel my house is clean when I use Clorox Wipes. I have Clorox wipes in 3 bathrooms, kitchen and play area. I believe when family members are sick Clorox Wipes will keep the germs from spreading.","January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",Darlenem1t
43,Take everywhere,"I love these wipes. I take them with me everywhere. I keep them in my diaper bag and use them often for cleaning swings at the park, wiping down grocery carts, and wiping little hands after they've touched something yucky. It makes me feel better about taking my kids out during the winter months when sickness is everywhere.","January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",ShellBell
44,Love it!,I absolutely love Clorox wipes. Not only do they clean and make everything smell better... they also make me feel better about germs.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",TLHT
45,I love this,I love the Clorox Wipes! They are so versatile! I love that I can use them to wipe down the kitchen and the bathroom and wherever else needs a little cleaning! I love the smell that they have.. so clean! Thanks Clorox!,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",laura0299
46,Fast and easy to use,I love using the disinfecting wipes! They are a must for any household. I have tried the generic brand and will never waste my money on those again.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",lacie89
47,great for everything just about,"I have the lemon Clorox wipes under every sink in the house. This is a great product. The wipe does not tear. It's great for all uses, to clean a countertop, spill on the floor, toilet, sink, etc all while killing every little germ or 99.9% I should say. Not to mention it just smells clean and refreshing too! Love thim! Can not live without them. I tried a different brand one time...never again! Clorox, thank you for making such a fantastic product!","January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",claudia
48,Confident to be clean and smell fresh,I love this product. I use it everywhere in my house. I know my kitchen is clean when I finish with a clorox disinfecting wipe.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",BZylema
49,Works great!,This product is a must in my household. I use it for everyday cleaning. Love the refreshing smell and the sparkle that it gives.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",Darcie
50,This product is awesome.,My mother is wheelchair bound and the wipes are an invaluable tool to keep things clean and fresh all over the house.,"January 19, 2012","Average Rating:
(
5.0
)
out of
5
stars",HollyAZ
51,My favorite cleaning product.,Clorox Disinfecting Wipes are so easy to use. They are strong and can withstand all of my scrubbing needs. I use them in every room in my home. I babysit my two young grandchildren and want to make sure my home is clean and as germ free as it can be. The lemon scented ones are so fresh smelling and I feel like these wipes do a double duty with the great scent! Can't live without them.,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",ArizonaMimi
52,I love the smell of this clorox wipes,I love the way this leaves a good smell after i clean. This is the only one that I use. Thanks Clorox,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",Moocow
53,awesome,clorox wipes are perfect for quick clean ups or when you need to sanitize the area. just wipe and toss.,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",jhaines4
54,This product has a variety of uses,"I use the wipes while cleaning in the bathroom, kitchen and anywhere else I want to clean and sanitize. They work great on everything and leave no streaks on shiny surfaces.","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",tdakhdj
55,Great,I love the smell and they work great. It has the capability of cleaning areas that perhaps you may have thought they would never look clean.,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",calienhte
56,Must have!,We use these all the time to clean off the kitchen table and countertops. They work great and are easy to use.,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",TLCesarano
57,very convenient,I really like these. They are very convenient to use.,"January 20, 2012","Average Rating:
(
4.0
)
out of
5
stars",steph2a2
58,Great Wipes!,"These are definitely my favorite wipes! They are strong and heavy duty - I can wipe a lot of my counter space with just one wipe and they never tear. The fresh scent in my favorite as well, I just find it gives the whole kitchen a great scent without smelling like chemicals!","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",CleanKitchen
59,clorox wipes,"This product is great, you can clean anything with it.","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",Babs
60,Easy and effective,Very convenient . Great for cleaning kitchens and bathrooms.,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",lmnoles
61,Love these,I use this in the kitchen and bath and in our camper. They do a great job cleaning up everything.,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",kcl624
62,great scent and do the job!,"I love Clorox wipes, espcially the citrus scented ones. they smell great and do a great job.","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",pcomsec
63,quick and easy!,These wipes are my favorite for cleaning the bathrooms. Make it quick with no messy foam spray everywhere!,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",jesmsn
64,Love~,"Love these, use them daily in my kitchen, and to clean the rest of the house as well, always feel like i am getting the germs!","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",laura0299
65,Fast and easy to use,"I love these wipes. I use them everyday. My bathrooms and kitchen smell fresh and clean everyday. They are so easy to use, that even my husband will use them when he makes a mess. Gotta love that! Thank you Clorox!!","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",lacie89
66,great for everything just about,"I use these for just about everything. Walls, trash cans, outside fridge, etc... I have been using these wipes for 3 years now. I have also tried other brands when they go on sale. Nothing compares to Clorox wipes.","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",claudia
67,Confident to be clean and smell fresh,These wipes are great! These wipes are great! These wipes are great!!,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",BZylema
68,Works great!,Love the product. It smells fresh. This product has been used in our family for generations',"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",Darcie
69,This product is awesome.,We have a puppy that we are working on potty training and my floors & family are extremely grateful for Clorox Wipes! I love knowing my house is clean and smells nice too!,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",HollyAZ
70,My favorite cleaning product.,Love clorox products. Love the scents. This product has been used in our household for generations.,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",ArizonaMimi
71,I love the smell of this clorox wipes,"Not only are they strong,but they smell great! I would recommend these to anyone who wants clean and disinfected, with a fresh clean scent.","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",Moocow
72,awesome,one of my favorite cleaning products. overall a great wipe and pleasant smell,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",jhaines4
73,This product has a variety of uses,Great smelling and effective. Also isnt sticky and doesnt creat a film,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",tdakhdj
74,Great,Thank-You for coming up with such an easy going product you just wipe and it disinfects nice smell,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",calienhte
75,Excellent product,I love that clean smell. Clorox wipes come in handy when it's cold and flu season. Just pop the top and wipe the door knobs and toss into the trash. I always keep my wipes on the kitchen counter because that's the place with the most foot traffic. So the kids know to wipe up after themselves. Gotta love Clorox for making life a little easier when it comes to cleaning. Thanks!,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",TLCesarano
76,Wonderful,"I love these wipes, I can use them on almost every surface in my home and know that I am keeping it clean for my children!","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",steph2a2
77,I used these for my kitchen,I used these wipes for my entire kitchen! They dont leave any residue and I know everything is clean and germ free! It also makes it alot easier to do a deep clean once a week when the kitchen is already clean :),"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",CleanKitchen
78,this works great for cleaning up my counters,"I use these all the time, they clean and disinfect all the areas of my home. I also love the lemon scent and they are moist enough to do the tough jobs. Great product!!!","January 20, 2012","Average Rating:
(
4.0
)
out of
5
stars",Babs
79,I love the way these smell,These are my favorite cleaning wipes for my bathroom.,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",lmnoles
80,Love These!,"These get used so much in my home, I love the way they clean without leaving a sticky residue.","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",kcl624
81,Love the smell!,"This product does the job, kills the germs and leaves a great smell!","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",pcomsec
82,Great product,These wipes are super convenient. A great thickness. Cleans the surface well and leaves a great smelling scent.,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",jesmsn
83,convenient,They smell great. They or great for counter tops. I keep one in the bathroom for the toilet. My little boy sometimes has accidents on the lid or under it. You can just clean it up real fast. Also it is disinfecting.,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",laura0299
84,great!,I love these wipes for quick clean ups! They are easy to pull out and smell nice too!,"January 20, 2012","Average Rating:
(
4.0
)
out of
5
stars",lacie89
85,I use these everyday...,"I love clorox wipes I have them everywhere in my house and use them multiple times a day in my kitchen, bathrooms and my babies playroom and nursery's.","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",AliPear
86,I like it!,These wipes are great! These wipes are great! These wipes are great!!,"January 20, 2012","Average Rating:
(
4.0
)
out of
5
stars",WISE
87,Great product,Love the product. It smells fresh. This product has been used in our family for generations',"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",Christine
88,Our favorites!,We have a puppy that we are working on potty training and my floors & family are extremely grateful for Clorox Wipes! I love knowing my house is clean and smells nice too!,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",apriamos
89,Awesome product,"I use this product for getting rid of all the germs in my bathrooms. With three bathrooms, and three kids, I need something that works fast. These are easy to use and get the job done.","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",Christine
90,"Not only are they strong,but they smell great!",I love having these wipes on hand. With the trusted name like Clorox I feel good about every light switch and door knob I wipe down during cold and flu season....Clorox wipes give me peace of mind.,"January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",lala
91,great cleaning,"I clean up everything with these! After my husband, kids and cats!","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",currentlysunny
92,Great Smelling,"These are the best wipes out there! They clean well and smell good, too!","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",snickers
93,Love this product,"I love Clorox wipes, they are so handy and I use it to wipe down everything along with bleach. Everything feels cleaner when I use clorox wipes.","January 20, 2012","Average Rating:
(
5.0
)
out of
5
stars",Linny
94,Excellent product,I USE THESE EVERYDAY TO CLEAN MY KITCHEN COUNTERS. THEY WORK REALLY GREAT AND SMELL NICE TOO,"January 20, 2012","Average Rating:
(
4.0
)
out of
5
stars",Cynthia
